date|time|description|vendor|amount
2025-04-28|08:15|Coffee|Starbucks|-4.50
2025-04-28|12:30|Lunch|Subway|-8.75
2025-04-28|17:45|Groceries|Walmart|-56.90
2025-04-28|20:00|Online Subscription|Netflix|-15.99
2025-04-29|09:00|Salary|Company Inc|2500.00
2025-04-29|10:30|Gas|Shell|-40.00
2025-04-29|13:15|Snacks|7-Eleven|-5.20
2025-04-29|18:00|Dinner|Olive Garden|-32.40
2025-04-30|07:45|Coffee|Dunkin Donuts|-3.25
2025-04-30|19:30|Movie|AMC Theaters|-12.00
2025-05-01|08:00|Breakfast|Panera Bread|-7.80
2025-05-01|15:45|Electronics|Best Buy|-249.99
2025-05-01|21:00|Taxi|Uber|-18.50
2025-05-02|11:00|Lunch|Chipotle|-9.60
2025-05-02|16:30|Gym Membership|Planet Fitness|-25.00
2025-05-02|20:15|Gift|Amazon|-50.00
2025-05-03|09:30|Coffee|Starbucks|-4.25
2025-05-03|14:00|Books|Barnes & Noble|-32.00
2025-05-03|19:00|Streaming Service|Spotify|-9.99
2025-05-04|10:00|Freelance Payment|Upwork|500.00
